loc,lOBlank,e,total_Op,i,v,branchCount,n,d,v(g),total_Opnd,lOCode,uniq_Op,uniq_Opnd,defects
1.1,2,1.3,1.2,1.3,1.3,1.4,1.3,1.3,1.4,1.2,2,1.2,1.2,False
1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,True
72.0,8,23029.1,112.0,55.85,1134.13,13.0,198.0,20.31,7.0,86.0,51,17.0,36.0,True
190.0,28,74202.67,329.0,254.87,4348.76,5.0,600.0,17.06,3.0,271.0,129,17.0,135.0,True
37.0,6,10297.3,76.0,34.86,599.12,7.0,126.0,17.19,4.0,50.0,28,11.0,16.0,True
31.0,5,7135.87,69.0,47.55,582.52,3.0,111.0,12.25,2.0,42.0,19,14.0,24.0,True
78.0,0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,9.0,0.0,0,0.0,0.0,True
8.0,1,142.01,9.0,18.11,50.72,1.0,16.0,2.8,1.0,7.0,5,4.0,5.0,True
24.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0,0.0,0.0,True
143.0,0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,22.0,0.0,0,0.0,0.0,True
73.0,0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0,0,0.0,0.0,True
83.0,0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,11.0,0.0,0,0.0,0.0,True
12.0,2,1150.68,22.0,24.34,167.37,5.0,37.0,6.87,3.0,15.0,8,11.0,12.0,True
48.0,16,12067.3,87.0,40.1,695.61,7.0,129.0,17.35,4.0,42.0,29,19.0,23.0,True
68.0,0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,8.0,0.0,0,0.0,0.0,True
138.0,0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,22.0,0.0,0,0.0,0.0,True
10.0,6,54.0,5.0,13.5,27.0,1.0,9.0,2.0,1.0,4.0,2,4.0,4.0,True
250.0,17,938311.06,1081.0,99.72,9673.31,97.0,1469.0,97.0,49.0,388.0,139,32.0,64.0,True
77.0,16,47536.38,167.0,28.35,1160.84,15.0,284.0,40.95,8.0,117.0,59,7.0,10.0,True
85.0,14,55961.02,161.0,52.53,1714.58,13.0,277.0,32.64,9.0,118.0,69,26.0,47.0,True
110.0,14,69127.22,176.0,61.94,2069.26,33.0,322.0,33.41,17.0,146.0,81,27.0,59.0,True
49.0,13,23506.58,107.0,36.63,927.89,11.0,171.0,25.33,6.0,64.0,34,19.0,24.0,True
187.0,16,140300.03,299.0,77.45,3296.33,69.0,526.0,42.56,35.0,227.0,164,21.0,56.0,True
27.0,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0,0.0,0.0,True
38.0,7,13824.9,72.0,32.8,673.36,15.0,145.0,20.53,8.0,73.0,29,9.0,16.0,True
294.0,26,237606.8,484.0,142.15,5811.59,85.0,814.0,40.88,43.0,330.0,223,28.0,113.0,True
29.0,6,5599.99,45.0,38.63,465.12,5.0,88.0,12.04,3.0,43.0,21,14.0,25.0,True
160.0,23,160969.13,388.0,146.86,4862.12,9.0,698.0,33.11,5.0,310.0,123,22.0,103.0,True
94.0,6,42683.63,127.0,35.83,1236.59,31.0,218.0,34.52,16.0,91.0,66,22.0,29.0,True
48.0,9,12140.27,85.0,70.84,927.38,5.0,157.0,13.09,3.0,72.0,34,16.0,44.0,True
14.0,3,672.19,18.0,24.86,129.27,3.0,31.0,5.2,2.0,13.0,8,8.0,10.0,True
32.0,4,9916.61,66.0,35.7,595.0,11.0,116.0,16.67,6.0,50.0,26,14.0,21.0,True
11.0,6,54.0,5.0,13.5,27.0,1.0,9.0,2.0,1.0,4.0,2,4.0,4.0,True
20.0,0,1062.25,21.0,13.11,118.03,5.0,31.0,9.0,3.0,10.0,13,9.0,5.0,True
39.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,True
63.0,0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,21.0,0.0,0,0.0,0.0,True
78.0,19,30254.54,113.0,38.01,1072.31,11.0,192.0,28.21,6.0,79.0,45,20.0,28.0,True
209.0,0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,26.0,0.0,0,0.0,0.0,True
6.0,0,492.27,15.0,13.67,82.04,3.0,21.0,6.0,2.0,6.0,4,10.0,5.0,True
44.0,0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,13.0,0.0,0,0.0,0.0,True
24.0,4,3756.37,34.0,13.45,224.74,5.0,52.0,16.71,3.0,18.0,18,13.0,7.0,True
23.0,2,1403.0,31.0,38.97,233.83,3.0,51.0,6.0,2.0,20.0,19,9.0,15.0,True
69.0,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0,0.0,0.0,True
148.0,16,111762.93,308.0,93.0,3223.93,37.0,516.0,34.67,19.0,208.0,118,19.0,57.0,True
83.0,12,43166.62,149.0,39.19,1300.6,39.0,226.0,33.19,20.0,77.0,62,25.0,29.0,True
53.0,8,8012.03,58.0,36.3,539.27,7.0,106.0,14.86,4.0,48.0,36,13.0,21.0,True
97.0,0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,15.0,0.0,0,0.0,0.0,True
25.0,0,2292.07,38.0,54.98,355.0,3.0,71.0,6.46,2.0,33.0,20,9.0,23.0,True
466.0,0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,110.0,0.0,0,0.0,0.0,True
110.0,0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,27.0,0.0,0,0.0,0.0,True
113.0,12,144343.07,271.0,70.04,3179.59,37.0,491.0,45.4,19.0,220.0,92,26.0,63.0,True
119.0,15,46500.6,174.0,74.63,1862.84,17.0,300.0,24.96,9.0,126.0,79,21.0,53.0,True
15.0,2,1939.44,29.0,23.94,215.49,5.0,47.0,9.0,3.0,18.0,10,12.0,12.0,True
44.0,0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0,0,0.0,0.0,True
124.0,0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,55.0,0.0,0,0.0,0.0,True
8.0,2,151.35,8.0,17.79,51.89,1.0,15.0,2.92,1.0,7.0,4,5.0,6.0,True
8.0,2,151.35,8.0,17.79,51.89,1.0,15.0,2.92,1.0,7.0,4,5.0,6.0,True
162.0,0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,27.0,0.0,0,0.0,0.0,True
113.0,9,117259.19,256.0,68.26,2829.11,53.0,445.0,41.45,27.0,189.0,97,25.0,57.0,True
8.0,2,151.35,8.0,17.79,51.89,1.0,15.0,2.92,1.0,7.0,4,5.0,6.0,True
8.0,2,139.52,8.0,15.5,46.51,1.0,14.0,3.0,1.0,6.0,4,5.0,5.0,True
9.0,1,256.87,10.0,15.41,62.91,3.0,17.0,4.08,2.0,7.0,6,7.0,6.0,True
179.0,0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,36.0,0.0,0,0.0,0.0,True
171.0,24,144911.31,370.0,123.53,4230.99,31.0,644.0,34.25,16.0,274.0,115,19.0,76.0,True
77.0,9,29873.71,158.0,91.8,1656.04,29.0,273.0,18.04,15.0,115.0,62,16.0,51.0,True
8.0,2,151.35,8.0,17.79,51.89,1.0,15.0,2.92,1.0,7.0,4,5.0,6.0,True
12.0,2,1467.19,24.0,22.92,183.4,7.0,40.0,8.0,4.0,16.0,8,12.0,12.0,True
42.0,6,10538.49,116.0,47.63,708.47,27.0,135.0,14.88,9.0,74.0,28,17.0,30.0,True
14.0,0,1592.09,40.0,75.63,346.99,1.0,79.0,4.59,1.0,39.0,12,4.0,17.0,True
19.0,2,5627.15,34.0,12.76,267.96,9.0,62.0,21.0,5.0,28.0,15,12.0,8.0,True
88.0,12,45651.03,174.0,41.29,1372.96,15.0,250.0,33.25,8.0,76.0,52,21.0,24.0,True
13.0,1,995.75,27.0,55.47,235.02,3.0,50.0,4.24,2.0,23.0,10,7.0,19.0,True
46.0,14,4723.0,47.0,33.26,396.34,7.0,80.0,11.92,4.0,33.0,28,13.0,18.0,True
129.0,14,119927.45,260.0,55.65,2583.36,58.0,402.0,46.42,30.0,142.0,111,34.0,52.0,True
20.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,True
22.0,4,6135.2,66.0,42.19,508.77,1.0,107.0,12.06,1.0,41.0,16,10.0,17.0,True
32.0,4,10396.13,86.0,69.81,851.92,3.0,157.0,12.2,2.0,71.0,23,11.0,32.0,True
13.0,2,2467.17,29.0,11.9,171.33,1.0,45.0,14.4,1.0,16.0,9,9.0,5.0,True
12.0,1,733.33,12.0,10.56,88.0,5.0,22.0,8.33,3.0,10.0,9,10.0,6.0,True
6.0,1,108.97,6.0,11.16,34.87,1.0,11.0,3.12,1.0,5.0,3,5.0,4.0,True
17.0,1,812.63,15.0,14.73,109.39,5.0,28.0,7.43,3.0,13.0,13,8.0,7.0,True
5.0,0,225.85,9.0,12.8,53.77,1.0,15.0,4.2,1.0,6.0,3,7.0,5.0,True
227.0,0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,55.0,0.0,0,0.0,0.0,True
68.0,8,55302.55,167.0,53.85,1725.75,9.0,309.0,32.04,5.0,140.0,53,15.0,32.0,True
37.0,6,3769.56,44.0,36.59,371.38,7.0,73.0,10.15,4.0,29.0,23,14.0,20.0,True
106.0,10,61473.97,165.0,50.35,1759.26,22.0,288.0,34.94,12.0,123.0,76,25.0,44.0,True
18.0,2,237.6,7.0,21.82,72.0,1.0,18.0,3.3,1.0,11.0,14,6.0,10.0,True
100.0,17,46222.9,164.0,57.92,1636.21,21.0,277.0,28.25,11.0,113.0,64,20.0,40.0,True
99.0,10,47150.8,153.0,68.92,1802.66,24.0,277.0,26.16,14.0,124.0,85,27.0,64.0,True
53.0,10,28502.18,106.0,31.19,942.93,11.0,176.0,30.23,6.0,70.0,37,19.0,22.0,True
4.0,0,60.0,6.0,15.0,30.0,1.0,10.0,2.0,1.0,4.0,2,4.0,4.0,True
